id,listing_url,name,picture_url,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_picture_url,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathroom,bathroom_type,bedrooms,beds,price_cleaned,minimum_nights,review_scores_rating,Term
660552064149655521,https://www.airbnb.com/rooms/660552064149655521,Rental unit in Khet Phra Khanong,https://a0.muscache.com/pictures/9a967de7-2719-4cf8-8488-7da1d6900634.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Phra Khanong,Entire home/apt,2,1.000000,bath,1,1,1517.00,1,4.71,Short Term
41393163,https://www.airbnb.com/rooms/41393163,Rental unit in Sathon,https://a0.muscache.com/pictures/6ad7915d-5aff-44a8-959e-7330e448b46a.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Sathon,Entire home/apt,4,1.000000,bath,1,2,891.00,3,3.95,Short Term
893858431222909660,https://www.airbnb.com/rooms/893858431222909660,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-893858431222909660/original/0c4029ff-5519-4837-86ed-6703262fecdd.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,5,1.000000,bath,2,2,2621.00,1,0,Short Term
930242299136750289,https://www.airbnb.com/rooms/930242299136750289,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-930242299136750289/original/13cd0ced-9f80-42fa-a2ea-69de9db05974.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,5,Short Term
931018608739328299,https://www.airbnb.com/rooms/931018608739328299,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931018608739328299/original/4cb3e33b-ab18-44de-a147-6134045a3400.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
878987836725944158,https://www.airbnb.com/rooms/878987836725944158,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-878987836725944158/original/c84cc6e5-eece-46da-8f41-acb7dffa3bca.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,5,Short Term
931012421930031305,https://www.airbnb.com/rooms/931012421930031305,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931012421930031305/original/18de886b-e202-4ef6-961c-c0482ef0f0ef.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
893911283689252971,https://www.airbnb.com/rooms/893911283689252971,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-893911283689252971/original/b44963e0-c708-40b8-9cbe-e19334739ff7.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,2.000000,baths,2,4,2790.00,1,0,Short Term
931001793583427395,https://www.airbnb.com/rooms/931001793583427395,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931001793583427395/original/f3908bcf-e88d-4192-b78a-c42d51072be0.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
929528483293822758,https://www.airbnb.com/rooms/929528483293822758,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-929528483293822758/original/80049da2-9f32-4981-b1e8-cc87a1ed3141.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,2,Short Term
883668891163446499,https://www.airbnb.com/rooms/883668891163446499,Rental unit in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-883668891163446499/original/100b282f-abdc-4bda-b1bc-2614c49ca8c5.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,2,1.000000,bath,1,1,1588.00,1,2,Short Term
735151832351736868,https://www.airbnb.com/rooms/735151832351736868,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/ccf13ce7-9ee4-45fd-9240-5ad50c7c68a7.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,961.00,15,3.91,Short Term
930249639408359967,https://www.airbnb.com/rooms/930249639408359967,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-930249639408359967/original/e01efb3b-5fb5-490f-8d5b-d222e97a49bc.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
792291160673142090,https://www.airbnb.com/rooms/792291160673142090,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/ccf13ce7-9ee4-45fd-9240-5ad50c7c68a7.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,970.00,15,5,Short Term
930995028898623041,https://www.airbnb.com/rooms/930995028898623041,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-930995028898623041/original/48df2021-85ba-4508-b06c-c5776285e2ba.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
846794956287779799,https://www.airbnb.com/rooms/846794956287779799,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/a2b811b9-9447-49ae-9940-4e66e4edbaef.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,1.000000,bath,2,2,2642.00,2,5,Short Term
931016886294944154,https://www.airbnb.com/rooms/931016886294944154,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931016886294944154/original/b9c70706-c3cb-4759-84b1-0a2319c5c3c0.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,4.33,Short Term
838326967210078713,https://www.airbnb.com/rooms/838326967210078713,Home in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-838326967210078713/original/c938b3c4-bdbb-4836-a677-7406700ae0b6.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,10,4.000000,baths,4,5,6967.00,1,3,Short Term
838345418460884248,https://www.airbnb.com/rooms/838345418460884248,Home in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-838345418460884248/original/19af1438-20b5-488e-80ca-bb0f8ba63fd5.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,12,4.000000,baths,4,6,6051.00,1,0,Short Term
931630893814842206,https://www.airbnb.com/rooms/931630893814842206,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931630893814842206/original/8e74ba91-555b-493e-8693-b1eb74434f58.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,1.000000,bath,2,2,2302.00,7,0,Short Term
930253270939647532,https://www.airbnb.com/rooms/930253270939647532,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-930253270939647532/original/bb1cbae7-08b1-49db-a922-89e49f8bc307.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
930268855248204846,https://www.airbnb.com/rooms/930268855248204846,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-930268855248204846/original/3bf50ea9-7d68-41bf-9c51-cf5d74c5d45b.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
931599005798105049,https://www.airbnb.com/rooms/931599005798105049,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931599005798105049/original/c86a3eec-4cef-4872-900a-c8cc27a0119b.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,1.000000,bath,2,2,2302.00,7,0,Short Term
931572945225939559,https://www.airbnb.com/rooms/931572945225939559,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931572945225939559/original/47288859-78d2-4e20-a453-060a2e936e1f.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
932102453502184975,https://www.airbnb.com/rooms/932102453502184975,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-932102453502184975/original/95659734-c20c-4e47-983d-15aeefaf9ddd.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,1.000000,bath,2,2,2302.00,7,0,Short Term
804951584239524318,https://www.airbnb.com/rooms/804951584239524318,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-804951584239524318/original/6328a7a6-9ec5-47d8-bea8-749c528694e7.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,1.000000,bath,2,2,2373.00,5,3.5,Short Term
659910756641316497,https://www.airbnb.com/rooms/659910756641316497,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/bb0f1ebe-d895-46cb-8f4b-4275b76d8ff7.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,3,1.000000,bath,1,1,1616.00,5,5,Short Term
740445706210999445,https://www.airbnb.com/rooms/740445706210999445,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/d61830bc-7781-4564-930f-8d12a6e82b2a.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,966.00,28,5,Short Term
659891262903886792,https://www.airbnb.com/rooms/659891262903886792,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/3bd33fec-5661-486a-8f95-fc0bf5bd11bd.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,3,1.000000,bath,1,1,1588.00,5,3.67,Short Term
46043412,https://www.airbnb.com/rooms/46043412,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/a09d8a79-e683-4588-9784-d50ad22475d6.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,4,1.000000,bath,1,1,1096.00,2,4.5,Short Term
660380954267686172,https://www.airbnb.com/rooms/660380954267686172,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/2923c4fd-0465-4651-8d30-074bbc33dcfd.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,3,1.000000,bath,1,1,1652.00,5,4.5,Short Term
34212984,https://www.airbnb.com/rooms/34212984,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/a09d8a79-e683-4588-9784-d50ad22475d6.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,4,1.000000,bath,1,1,1100.00,2,4.27,Short Term
838395686266689513,https://www.airbnb.com/rooms/838395686266689513,Home in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-838395686266689513/original/6785b29b-e8db-41ab-91d3-7d99c46df6af.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Pom Prap Sattru Phai,Private room,2,1.000000,shared bath,0,1,2936.00,1,4.5,Short Term
38481256,https://www.airbnb.com/rooms/38481256,Rental unit in Bangkok,https://a0.muscache.com/pictures/2466c8ac-d41b-488c-919f-402af0d1415c.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,6,2.000000,baths,2,2,2324.00,2,3.6,Short Term
