id,name,picture_url,host_id,neighbourhood_cleansed,room_type,bathroom,bathroom_type,bedrooms,beds,price_cleaned
19977073,Place to stay in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/6fc1e12e-d4aa-481f-8e09-c47a08f5187e.jpg,141332574,Bang Kapi,Private room,1.000000,private bath,0,2,1200.00
45326254,Hotel in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-45326254/original/2789fb17-3563-49da-a26a-c5d306dc37f8.jpeg,284175310,Khlong Toei,Private room,1.000000,private bath,1,1,4000.00
15606210,Guesthouse in Bangkok,https://a0.muscache.com/pictures/0166dad0-8a8b-441b-b810-18718736355f.jpg,100606916,Thon buri,Private room,,,1,1,499.00
13722609,Bed and breakfast in Bangkok,https://a0.muscache.com/pictures/3acd2449-7200-4b3e-bd8e-06001e20ade3.jpg,80196677,Vadhana,Hotel room,1.000000,bath,1,2,1200.00
31499077,Rental unit in Nakhon,https://a0.muscache.com/pictures/5f339449-a606-4cee-b191-6c273788f546.jpg,38895452,Phra Nakhon,Private room,1.000000,private bath,0,2,5172.00
954949447506148614,Hotel in Khet Phra Nakhon,https://a0.muscache.com/pictures/miso/Hosting-954949447506148614/original/42045de7-db61-4e2a-9e19-b8589df168ef.png,493412920,Phra Nakhon,Private room,1.000000,bath,1,1,2300.00
41657650,Condo in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/65b0592e-0faa-43bd-92cb-bd3e2b9f69b8.jpg,48077104,Bang Rak,Entire home/apt,1.000000,bath,1,0,4810.00
970150755923806711,Rental unit in Khet Khan Na Yao,https://a0.muscache.com/pictures/624b6532-4fb6-45d3-bf5b-46b83a2ab5b7.jpg,312609131,Khan Na Yao,Entire home/apt,1.000000,bath,1,1,690.00
42389898,Condo in Khet Pathum Wan,https://a0.muscache.com/pictures/eb30248a-e443-4866-a6a1-9b8021fb21ca.jpg,278213316,Parthum Wan,Entire home/apt,1.000000,bath,1,1,1500.00
42321123,Condo in Khet Huai Khwang,https://a0.muscache.com/pictures/fe2aa42a-b6c8-49fc-be82-a5b6764b6db3.jpg,333315763,Huai Khwang,Entire home/apt,1.000000,bath,1,0,3200.00
837957074858466649,Rental unit in Khet Bangkok Noi,https://a0.muscache.com/pictures/b007c999-7c4e-4f9a-a749-4200b33743e8.jpg,502387041,Bangkok Noi,Private room,1.000000,private bath,1,1,480.00
28449419,Home in Khet Thon Buri,https://a0.muscache.com/pictures/14db15d2-94ce-4bfd-a863-1d80b8ca2bc3.jpg,214764197,Thon buri,Private room,1.000000,private bath,0,1,2749.00
11411099,Condo in Khet Khlong Toei,https://a0.muscache.com/pictures/0d8da778-3719-43b7-aae0-6c7b1753c77c.jpg,44411495,Khlong Toei,Private room,1.000000,private bath,0,1,850.00
11803706,Hostel in Bangkok,https://a0.muscache.com/pictures/d2280cba-61e8-4d9b-a42c-7df27af411ae.jpg,62857245,Parthum Wan,Private room,8.000000,baths,1,4,1250.00
37953702,Condo in Khet Don Mueang,https://a0.muscache.com/pictures/eb0a6308-9623-4312-8a47-c5bb1b7d1f1c.jpg,97598307,Don Mueang,Shared room,3.000000,shared baths,0,8,360.00
960080905407116693,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-960080905407116693/original/5ceac97c-a92a-4859-96dc-63fce9fda978.jpeg,522048699,Khlong Toei,Private room,1.000000,bath,1,1,1688.00
36858311,Hotel in Khet Bang Rak,https://a0.muscache.com/pictures/miso/Hosting-36858311/original/36f241f8-9853-4da6-bc4e-28bca2b127b8.jpeg,97269224,Bang Rak,Hotel room,1.000000,shared bath,1,1,1280.00
888105754156621605,Rental unit in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-888105754156621605/original/6539793f-c07b-4ffa-99ef-c6d4c469d29d.jpeg,100608435,Vadhana,Entire home/apt,1.000000,bath,1,2,1000.00
860810883773847734,Rental unit in Khet Lat Krabang,https://a0.muscache.com/pictures/miso/Hosting-860810883773847734/original/76f9b458-33d5-49cb-b13f-f31d3ab6b383.jpeg,228006067,Lat Krabang,Private room,1.000000,private bath,0,1,640.00
4773429,Rental unit in บางพลัด,https://a0.muscache.com/pictures/59898076/bccabd8a_original.jpg,596569,Bang Phlat,Entire home/apt,1.000000,bath,1,1,2170.00
48855875,Serviced apartment in Khet Prawet,https://a0.muscache.com/pictures/27d31a1e-47ad-4103-a11c-1d0ef23b1adf.jpg,32432579,Pra Wet,Entire home/apt,1.000000,bath,2,3,1290.00
946033333260391818,Condo in Khet Ratchathewi,https://a0.muscache.com/pictures/miso/Hosting-946033333260391818/original/e5b86110-a256-42ab-ba91-d5076bb4b8de.jpeg,421984848,Ratchathewi,Entire home/apt,2.000000,baths,1,2,1960.00
