amenities,Count,amenities_URL
Air conditioning,5808,https://img5.pic.in.th/file/secure-sv1/icons8-air-100.png
Wifi,5210,https://img5.pic.in.th/file/secure-sv1/icons8-wifi-100.png
Kitchen,4279,https://img5.pic.in.th/file/secure-sv1/icons8-kitchen-100.png
TV,3939,https://img5.pic.in.th/file/secure-sv1/icons8-tv-100.png
Hangers,3881,https://img2.pic.in.th/pic/icons8-hanger-100.png
Shampoo,3731,https://img2.pic.in.th/pic/icons8-shampoo-100.png
Washer,3685,https://img5.pic.in.th/file/secure-sv1/icons8-washer-100.png
Free parking on premises,3447,https://img5.pic.in.th/file/secure-sv1/icons8-parking-100.png
Essentials,3384,https://img5.pic.in.th/file/secure-sv1/icons8-essential-64.png
