host_response_time,AvgNo0_review_scores_rating,AvgNo0_review_scores_communication
within an hour,4.68170435369552,4.78814714816058
within a few hours,4.64473804100229,4.74943052391801
within a day,4.57538461538461,4.72969230769231
"Not Identified ",4.4783291562239,4.66791979949875
a few days or more,4.41485943775101,4.61160642570281
