id,host_id,neighbourhood_cleansed,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,Group_rating_score,Group_scores_accuracy,Group_scores_cleanliness,Group_scores_communication,Group_score_location
3732371,15403102,Parthum Wan,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
51600039,342113311,Bang Na,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
876430192764382744,35043615,Bangkok Yai,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
914338779563808377,28878380,Bang Na,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
36244662,36596655,Ratchathewi,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
9419661,48838323,Huai Khwang,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
678677178181371445,66067378,Bang Kapi,Entire home/apt,5,5,5,4.8,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
771228945958458809,489650471,Khlong Toei,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
714183301909669540,474260020,Vadhana,Shared room,3,5,5,4.67,4.67,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
799859162477177326,67585919,Khlong San,Entire home/apt,6,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
810780582464287565,67585919,Vadhana,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
954603698923728980,527619664,Khlong Toei,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
805640947551037133,50413369,Phra Nakhon,Private room,5,5,5,4.8,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
39432859,263421752,Vadhana,Private room,10,5,4.9,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
29755595,144599259,Bang Na,Entire home/apt,3,5,5,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
944300559104801681,368646484,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
854070471559644816,312545246,Vadhana,Entire home/apt,3,5,5,5,4.67,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
47322636,7919219,Phra Khanong,Private room,2,5,5,4.5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
16651144,78238815,Bang Na,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
876482189619156537,491376783,Bang Phlat,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
860974246665932266,463694580,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
851804206942131583,110723438,Vadhana,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
634489663242459630,447626756,Bang Sue,Entire home/apt,4,5,4.75,5,5,4.75,5,Excellence,Excellence,Excellence,Excellence,Excellence
39875014,190070213,Yan na wa,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
944286384863900967,368646484,Khlong Toei,Entire home/apt,2,5,5,5,5,5,4,Excellence,Excellence,Excellence,Excellence,Good
938704047810670506,253787977,Khlong Toei,Entire home/apt,3,5,5,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
835149854188221845,264864968,Vadhana,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
790465040741092826,94899359,Pra Wet,Entire home/apt,2,5,5,4.5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
735269051784530887,416454376,Huai Khwang,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
814400678550712860,90247826,Phra Khanong,Entire home/apt,8,5,5,5,5,4.88,5,Excellence,Excellence,Excellence,Excellence,Excellence
49063177,325788794,Bang Phlat,Entire home/apt,4,5,5,5,4.75,4.75,4.75,Excellence,Excellence,Excellence,Excellence,Excellence
896749440593850129,341472080,Din Daeng,Private room,4,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
903204735251163026,341472080,Din Daeng,Private room,4,5,5,5,4.75,4.75,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
15304743,36323730,Parthum Wan,Entire home/apt,3,5,4.5,4,5,5,4.5,Excellence,Excellence,Good,Excellence,Excellence
786852759408061595,603057,Sathon,Entire home/apt,11,5,5,4.91,4.91,5,4.91,Excellence,Excellence,Excellence,Excellence,Excellence
19213979,117909195,Phra Khanong,Entire home/apt,2,5,5,5,5,5,0,Excellence,Excellence,Excellence,Excellence,Poor
